"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0B7KHT12M","B0B7KHT12M","Dish Soap Dispenser for Kitchen - 2 Pack Kitchen Soap Dispenser Set Soap Dispenser Bathroom, Hand Soap Dispenser Glass Soap Dispenser Liquid Soap Dispenser, Hand Soap and Lotion Dispenser Set","FINESSY","FBA","Home & Kitchen",63710,"Countertop Soap Dispensers",32.45,-10,203,0,6587.35,164,4.4,"Elevated Everyday",1,"N/A","N/A","Large Standard-Size",5.08,8.03,8.94,2.02,145.56,506.3,"01/01/2023",9,6,0,1.24
"https://amazon.com/dp/B0B76YQ758","B0B76YQ758","VICUKIE Dish Soap Dispenser, Contains Glass Hand Soap Dispenser and Dish Soap Dispenser, Kitchen Soap Dispenser Set, Matte Black Soap Dispenser, Farmhouse Kitchen Decor (Black)","VICUKIE","FBA","Home & Kitchen",5929536,"Countertop Soap Dispensers",35.99,"N/A",0,0,0,1,1,"VICUKIE",1,"N/A","N/A","Large Standard-Size",4.2,7.6,8,1.35,101.97,354.67,"10/01/2022",9,7,0,0
"https://amazon.com/dp/B0BJ7CF4HS","B0BJ7CF4HS","Soap Dispenser, SUKIYPO Kitchen Soap Dispenser Set with Bamboo Tray, 17oz Hand Soap Dispenser and Dish Soap Dispenser for Kitchen, Refillable Glass Soap Dispenser for Farmhouse Kitchen Decor (Black)","SUKIYPO","FBA","Home & Kitchen",390840,"Countertop Soap Dispensers",32.99,62,1,-120,32.99,61,4.6,"Kinstar-US",1,"N/A","N/A","Large Standard-Size",3.9,7.87,8.23,1.59,100.87,350.84,"02/01/2023",6,7,4,0.02
"https://amazon.com/dp/B0BJ7GHYG8","B0BJ7GHYG8","Soap Dispenser Set with Tray - SUKIYPO Glass Hand Soap Dispenser and Glass Dish Soap Dispenser, Kitchen Soap Dispenser Set for Modern Farmhouse Kitchen Decor (Black & White)","SUKIYPO","FBA","Home & Kitchen",747535,"Countertop Soap Dispensers",31.99,31,3,-110,95.97,61,4.6,"Kinstar-US",1,"N/A","N/A","Large Standard-Size",3.94,7.91,8.19,1.54,101.92,354.51,"02/01/2023",6,7,4,0.05
"https://amazon.com/dp/B0C3LB89BR","B0C3LB89BR","Large Soap Dispenser for Kitchen Sink and Bathroom Soap Dispenser Set - 2 Pack - (8"" in Height) - Grey Hand Soap Dispenser for Kitchen Sink Soap Dispenser Set","Varato Design","FBM","Tools & Home Improvement",1159399,"Built In Soap Dispensers",59.99,"N/A",1,,59.99,"N/A","N/A","Varato Design",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/01/2023","-",9,0,"N/A"
"https://amazon.com/dp/B09541VJDP","B09541VJDP","Glass Hand and Dish Soap Dispenser Set, Modern Soap Dispenser Kitchen, Amber Apothecary Soap Dispenser, Set of 2","Heartland Lettering","FBA","Home & Kitchen",838640,"Countertop Soap Dispensers",38,"N/A",11,79,418,20,4.8,"Heartland Lettering",1,168,-67,"Large Standard-Size",4.69,6.42,8.35,1.61,100.39,349.19,"10/01/2021",25,4,0,0.55
"https://amazon.com/dp/B0B9KXYP5H","B0B9KXYP5H","Glass Soap Dispenser for Kitchen Sink,Farmhouse Kitchen Dish Soap Dispenser&Hand Soap Dispenser Set,Rustproof Pump Soap Dispenser Bathroom with Tray,Waterproof Label for Kitchen Decor(White","eggs sound","FBA","Home & Kitchen",61871,"Bath",39.98,"N/A",423,-62,16911.54,75,4.7,"Dan sheng US",1,"N/A","N/A","Large Standard-Size",4.92,9.21,10,2.31,180.94,629.35,"04/01/2023",9,7,3,5.64
"https://amazon.com/dp/B0B9KYXTCM","B0B9KYXTCM","Glass Soap Dispenser for Kitchen Sink,Farmhouse Kitchen Dish Soap Dispenser&Hand Soap Dispenser Set,Rustproof Pump Soap Dispenser Bathroom with Tray,Waterproof Label for Kitchen Decor(Black","eggs sound","FBM","Home & Kitchen",61871,"Bath",39.98,"N/A",423,-62,16911.54,75,4.7,"Dan sheng US",1,"N/A","N/A","Large Standard-Size",5.08,9.21,9.8,2.29,"N/A","N/A","04/01/2023",9,7,3,5.64
"https://amazon.com/dp/B0B9LH78KR","B0B9LH78KR","Glass Soap Dispenser for Kitchen Sink,Farmhouse Kitchen Dish Soap Dispenser&Hand Soap Dispenser Set,Rustproof Pump Bathroom Soap Dispenser with Tray,Waterproof Label for Kitchen Decor(Amber","eggs sound","FBM","Home & Kitchen",61871,"Bath",37.98,"N/A",423,-62,16065.54,75,4.7,"Dan sheng US",1,"N/A","N/A","Large Standard-Size",5.08,9.21,9.88,2.31,"N/A","N/A","04/01/2023",9,7,3,5.64
"https://amazon.com/dp/B0BPHH7KR5","B0BPHH7KR5","Automatic Soap Dispenser, Dish Soap Dispenser for Kitchen Sink, Kitchen Soap Dispenser Set Wall Mount or Countertop Rechargeable Dispenser Liquid + Foaming Hand KSITEX","KSITEX","FBA","Tools & Home Improvement",433292,"Built In Soap Dispensers",34.99,8,29,64,1014.71,282,3.6,"KSITEX-US-SHOP",1,"N/A","N/A","Large Standard-Size",3.6,6.1,7.5,1.2,65.77,228.75,"06/01/2023",3,8,0,0.1
