,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
0,https://amazon.com/dp/B0B76YQ758,B0B76YQ758,"VICUKIE Dish Soap Dispenser, Contains Glass Hand Soap Dispenser and Dish Soap Dispenser, Kitchen Soap Dispenser Set, Matte Black Soap Dispenser, Farmhouse Kitchen Decor (Black)",VICUKIE,FBA,Home & Kitchen,5929536,Countertop Soap Dispensers,35.99,,0,0.0,0.0,1.0,1.0,VICUKIE,1,,,Large Standard-Size,4.2,7.6,8.0,1.35,101.97,354.67,10/01/2022,9,7,0,0.0
1,https://amazon.com/dp/B0C3LB89BR,B0C3LB89BR,"Large Soap Dispenser for Kitchen Sink and Bathroom Soap Dispenser Set - 2 Pack - (8"" in Height) - Grey Hand Soap Dispenser for Kitchen Sink Soap Dispenser Set",Varato Design,FBM,Tools & Home Improvement,1159399,Built In Soap Dispensers,59.99,,1,,59.99,,,Varato Design,1,,,,,,,,,,06/01/2023,-,9,0,
2,https://amazon.com/dp/B0BNFRPTX9,B0BNFRPTX9,CIMONS Soap Dispenser for Kitchen Lotion Bottle Soap Dispenser Home Made Clear Glass Lotions Dispenser Dispensing Soap Dispenser for Essential Oils Bathroom Soap Dispenser Set,CIMONS,FBM,Home & Kitchen,6672701,Countertop Soap Dispensers,31.1,,0,,0.0,,,Mona Department Store,1,,,,,,,,,,-,-,4,0,
3,https://amazon.com/dp/B0BNGBD8J4,B0BNGBD8J4,Soap Dispenser for Kitchen Foaming Hand Soap Dispenser Ceramics Soap Foam Dispenser (23.7oz) Big Capacity Soap Dispenser Refillable and Eco Friendly Bathroom Soap Dispenser Set (Color : D),CIMONS,FBM,Home & Kitchen,7147675,Countertop Soap Dispensers,32.51,,0,0.0,0.0,,,Mona Department Store,1,,,,,,,,,,-,-,6,0,
4,https://amazon.com/dp/B0BNGMNY3W,B0BNGMNY3W,Soap Dispenser for Kitchen Foaming Hand Soap Dispenser Ceramics Soap Foam Dispenser (23.7oz) Big Capacity Soap Dispenser Refillable and Eco Friendly Bathroom Soap Dispenser Set (Color : E),CIMONS,FBM,Home & Kitchen,7149200,Countertop Soap Dispensers,32.51,,0,0.0,0.0,,,Mona Department Store,1,,,,,,,,,,-,7,6,0,
5,https://amazon.com/dp/B09GK1HRSH,B09GK1HRSH,"Layboo 300ml Glass Soap Dispenser Set with Tray/Soap Dish , Decorative Liquid Soap & Lotion Dispenser Hand Soap Dispenser, for Kitchen or Bathroom Countertops",Layboo,FBM,Home & Kitchen,8169556,Countertop Soap Dispensers,38.89,,0,,0.0,,,Layboo,1,,,,,,,,,,-,-,6,0,
6,https://amazon.com/dp/B0C3KW7FF4,B0C3KW7FF4,Bathroom Soap Dispenser Set - 2 Pack - Hand and Dish Soap Dispenser Set for Bathroom Accessories - Modern Soap Dispenser Set of 2 with No Leak Pumps,Varato Design,FBM,Home & Kitchen,2426082,Countertop Soap Dispensers,36.99,,2,,73.98,,,Varato Design,1,,,,,,,,,,-,-,9,0,
7,https://amazon.com/dp/B0BFVRRXFN,B0BFVRRXFN,"Pantry Organization and Storage Baskets, Pantry Organizer Bins White Pantry Storage Bin + Soap Dispenser Dish Soap Dispenser for Kitchen, Hand Soap Dispenser Bathroom, Kitchen Soap Dispenser Set",FINESSY,FBA,Home & Kitchen,5037573,Countertop Soap Dispensers,59.45,,0,0.0,0.0,,,Elevated Everyday,0,,,,,,,,,,-,6,8,0,
8,https://amazon.com/dp/B08Z3Q29LB,B08Z3Q29LB,BUYT Bathroom Soap Dispenser Set Soap Dispenser Wall Mounted Liquid Dispenser Mural Kitchen Shampoo Shower Dispenser Hand Liquid Lotions Dispenser,BUYT,FBM,Home & Kitchen,5774746,Countertop Soap Dispensers,38.19,,0,,0.0,1.0,1.0,junboyaojianshe,1,,,,,,,,,,-,1,6,0,0.0
9,https://amazon.com/dp/B098R4W9K2,B098R4W9K2,"Soap dispensers Refillable Hand Soap Dispenser Hotel Bath Kitchen Soap Dispenser Set Resin Lotion Bottle Pump 300ml soap Dispenser Pump (Color : Brown, Size : A)",COTEN,FBM,Home & Kitchen,8561436,Countertop Soap Dispensers,47.24,,0,,0.0,,,Mooney department store,1,,,,,,,,,,-,-,7,0,
10,https://amazon.com/dp/B0BPHH7KR5,B0BPHH7KR5,"Automatic Soap Dispenser, Dish Soap Dispenser for Kitchen Sink, Kitchen Soap Dispenser Set Wall Mount or Countertop Rechargeable Dispenser Liquid + Foaming Hand KSITEX",KSITEX,FBA,Tools & Home Improvement,433292,Built In Soap Dispensers,34.99,8.0,29,64.0,1014.71,282.0,3.6,KSITEX-US-SHOP,1,,,Large Standard-Size,3.6,6.1,7.5,1.2,65.77,228.75,06/01/2023,3,8,0,0.1
