,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
0,https://amazon.com/dp/B0BKVGF16R,B0BKVGF16R,"Secura Automatic Soap Dispenser Set, Foaming Soap Dispenser & Stainless Steel Liquid Soap Dispenser",Secura,FBA,Home & Kitchen,2617536,Countertop Soap Dispensers,58.99,,3,67.0,176.97,2,4.5,Lafraise,0,,,,,,,,,,04/01/2023,-,9,0,1.5
1,https://amazon.com/dp/B0BB16TR99,B0BB16TR99,Cabilock Home Decor Home Decor Bath Set Bath Set 4 PCS Animal Soap Dispenser soap Dispenser soap Dispenser Cute soap Dispenser Velociraptor Egg Terrarium Terrarium Stuffed Animals Stuffed Animals,Cabilock,FBM,Home & Kitchen,4396773,Countertop Soap Dispensers,54.46,-3.0,0,0.0,0.0,1,5.0,Richard Wen,1,,,Small Oversize,9.65,19.69,4.92,1.94,,,03/01/2023,10,9,12,0.0
2,https://amazon.com/dp/B0BB1WHRY3,B0BB1WHRY3,Cabilock Home Decor Home Decor Bath Set Bath Set 3 Pack Animal Soap Dispenser soap Dispenser soap Dispenser Cute soap Dispenser Velociraptor Egg Terrarium Terrarium Stuffed Animals Stuffed Animals,Cabilock,FBM,Home & Kitchen,1317602,Countertop Soap Dispensers,46.78,2.0,4,-43.0,187.12,1,5.0,Thomas Zack Yang,1,,,Large Standard-Size,9.65,14.76,4.92,1.45,,,04/01/2023,9,9,12,4.0
3,https://amazon.com/dp/B0BB1WT6G3,B0BB1WT6G3,Cabilock Home Decor Home Decor Kids Bath Set 4 Pieces Animal Soap Dispenser Kids soap Dispenser soap Dispenser Cute soap Dispenser Velociraptor Egg Kids Terrarium Stuffed Animals Stuffed Animals,Cabilock,FBM,Home & Kitchen,1317602,Countertop Soap Dispensers,59.71,6.0,4,-43.0,238.84,1,5.0,Thomas Zack Yang,1,,,Small Oversize,9.65,19.69,4.92,1.94,,,04/01/2023,9,9,12,4.0
4,https://amazon.com/dp/B0BQR1D5LY,B0BQR1D5LY,"Automatic Soap Dispenser, PZOTRUF Touchless Dish Soap Dispenser 17oz/500ml with Upgraded Infrared Sensor, 5 Adjustable Soap Dispensing Levels, Liquid Hand Soap Dispenser for Bathroom (Silver Set)",PZOTRUF,FBA,Home & Kitchen,2315,Countertop Soap Dispensers,46.99,-6.0,10973,37.0,515621.27,2012,4.4,PZOTRUF Official-US,1,,,Large Standard-Size,3.39,8.82,9.45,2.14,112.66,391.85,06/01/2023,4,8,4,5.45
5,https://amazon.com/dp/B0BJV5MFJ9,B0BJV5MFJ9,"Secura 17oz Automatic Liquid Soap Dispenser, Touchless Battery Operated Hand Soap Dispenser with Adjustable Soap Dispensing Volume Control Dial Set (2pc)",Secura,FBA,Home & Kitchen,1472108,Countertop Soap Dispensers,54.99,,8,-81.0,0.0,4,5.0,Lafraise,0,,,,,,,,,,03/01/2023,2,8,0,2.0
6,https://amazon.com/dp/B09YDD48BZ,B09YDD48BZ,YIFAN Wood Soap Dispenser Set of 3 Liquid Soap Dispenser Lotion Dispenser Bottle with 304 Stainless Steel Pump Wood Soap Bottle for Kitchen Sink Bathroom Washroom(6.8oz/pc) Gift,YIFAN,FBA,Home & Kitchen,2015081,Bath,49.99,-12.0,1,33.0,49.99,7,4.7,YIFAN Wooden,1,,,Large Standard-Size,5.79,7.36,10.63,1.98,180.88,629.15,09/01/2022,12,7,0,0.14
7,https://amazon.com/dp/B075MLCJHN,B075MLCJHN,"USTARAIL Bathroom Accessories Set Lotus Green Design Soap Dish, Soap Dispenser, Toothbrush Holder & Tumbler Bathroom Set",USTARAIL,FBM,Home & Kitchen,5496353,Bathroom Accessory Sets,49.96,,0,0.0,0.0,1,5.0,USTARAIL,1,,,,,,,,,,06/01/2022,68,1,0,0.0
8,https://amazon.com/dp/B07KK9FNR8,B07KK9FNR8,"Gesteh Cartoon dianosaur Bath Accessory Set, Soap Dispenser Pump, Toothbrush Holder, Tumbler, Soap Dish (one Set)",Gesteh,FBA,Home & Kitchen,1397059,Kids' Bathroom Holders & Dispensers,49.99,,2,-129.0,99.98,35,4.5,Ruotong Che,2,33.0,-48.0,Large Standard-Size,5.75,9.53,11.93,2.43,261.04,907.96,07/01/2021,50,1,5,0.06
9,https://amazon.com/dp/B0BR6M8SWM,B0BR6M8SWM,Delimux Ceramic Glass Soap Dispenser with Wood Riser Set Farmhouse Wooden Tray Hand Soap and Dish Soap Dispenser for Home Kitchen and Bathroom Decor (Silver Pump),Delimux,FBA,Home & Kitchen,110588,Countertop Soap Dispensers,49.99,17.0,256,,11773.44,7,4.8,Delimux Store,1,,,Large Standard-Size,5.35,9.69,14.57,2.98,301.61,1049.07,05/01/2023,2,8,2,36.57
10,https://amazon.com/dp/B0BK4HWL1V,B0BK4HWL1V,OXO Good Grips Precision Pour Glass Dispenser Set & Good Grips Stainless Steel Soap Dispenser,OXO,Amazon,Kitchen & Dining,1494,Food Dispensers,50.9,,3809,-8.0,193878.1,9237,4.8,Amazon,1,41011.0,-3.0,,,,,,,,01/01/2022,8,7,11,0.41
11,https://amazon.com/dp/B08HMQRZR1,B08HMQRZR1,"JruF Bathroom Accessories Set 5 Piece Set Tumbler, Toothbrush Holder and Soap Dispenser, Soap Dish, Blue Flowers",JruF,FBM,Home & Kitchen,3349951,Bathroom Accessory Sets,63.0,,0,0.0,0.0,12,4.0,JruF,1,,,,,,,,,,11/01/2021,-,4,5,0.0
12,https://amazon.com/dp/B01H43ILAQ,B01H43ILAQ,"HiEnd Accents Antler 4-PC Bath Accessory Set - Tumbler, Soap Dispenser, Toothbrush Holder & Soap Dish",H HIEND ACCENTS,FBM,Home & Kitchen,739339,Bathroom Accessory Sets,65.0,3.0,20,-27.0,1300.0,158,4.5,The Home Outfitter,1,303.0,70.0,Large Standard-Size,12.4,10.5,5.5,4.43,,,06/01/2021,77,6,0,0.13
