"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"amazon basics soap dispenser",,,881,37,-42,,,,79,42,8,0,0,0,0,,
"jaboneras para cocina",,,445,57,-4,,,,158,128,8,0,0,0,0,,
"hand soap lotion set with caddy",,,155,61,-12,,,,236,393,8,0,0,0,0,,
"hand soap lotion dispenser set",,,38,76,-15,0.89,0.65,1.11,233,">2,000",8,0,0,0,1,,
"kitchen press gift set with attractive unique design and extras",,,385,94,27,,,,185,244,8,0,0,0,0,,
"maisonovo dish soap dispenser",,,"2,133",96,-16,,,,17,45,8,0,0,0,0,,
"hand soap and lotion dispenser set with caddy",,,279,107,-11,,,,0,394,8,0,0,0,0,,
"casabella dish soap dispenser",,,"5,400",108,-19,,,,23,20,8,0,0,0,0,,
"hand dish soap dispenser set",,,55,110,-53,0.88,0.67,1.1,298,">2,000",8,0,0,0,0,,
"maisonovo glass soap dispenser with pump and concrete tray",,,"3,500",112,54,1.06,0.9,1.23,19,32,8,0,0,0,0,,
"double soap dispenser caddy",,,355,135,-3,,,,121,380,8,0,0,0,0,,
"no bpa pump dispenser",,,314,149,-31,,,,244,474,8,0,0,0,0,,
"dish soap dispenser tray",,,50,151,1,,,,313,">3,000",8,0,0,0,1,,
"momeemo soap dispenser set 2 pack",,,"8,889",160,-14,,,,88,18,8,0,0,0,0,,
"kitchen soap and lotion set with caddy",,,438,171,22,,,,219,390,8,0,0,0,0,,
"dual soap dispenser",,,477,188,9,1.01,0.78,1.32,198,">394",8,0,0,0,0,,
"accesorios para cocinas modernas",,,279,203,-14,0.79,0.53,0.89,710,">727",8,0,0,0,0,,
"double soap dispenser",,,335,212,-3,1.13,0.79,1.37,302,">632",8,0,0,0,1,,
"black soap dispenser pump",,,216,216,-44,0.92,0.67,1.09,427,">1,000",8,0,0,0,2,,
"chic soap dispenser",,,390,221,-2,,,,396,">567",8,0,0,0,0,,
"glass soap dispenser caddy",,,284,223,25,,,,253,784,8,0,0,0,0,,
"kitchen hand soap and lotion",,,3,224,34,,,,368,">80,000",8,0,0,0,0,,
"kitchen soap glass dispenser",,,4,226,2,,,,409,">60,000",8,0,0,0,0,,
"bathroom soap dispenser boho",,,279,247,-32,,,,335,885,8,0,0,0,0,,
"bathroom soap dispenser set with tray",,,249,249,-52,0.58,0.41,0.72,424,">1,000",8,0,0,0,0,,
"soap dish and dispenser set",,,125,249,-23,,,,388,">2,000",8,0,0,0,0,,
"glass soap and lotion dispenser set",,,262,262,9,,,,367,">1,000",8,0,0,0,1,,
"farmhouse hand soap dispenser",,,267,267,21,1,0.73,1.14,277,">1,000",8,0,0,0,0,,
"kitchen soap dispenser caddy",,,273,273,36,0.88,0.67,1.05,380,">1,000",8,0,0,0,2,,
"hand and dish soap dispenser set with tray",,,282,277,-45,0.79,0.55,0.96,297,">983",8,0,0,0,1,,
"classy soap dispenser",,,380,279,9,,,,276,">735",8,0,0,0,0,,
"botellas para jabon de trastes",,,"4,379",289,92,,,,55,66,8,0,0,0,0,,
"pioneer woman soap and lotion set",,,"6,208",298,21,,,,65,48,8,0,0,0,0,,
"bathroom soap lotion dispenser sets",,,154,308,-30,1.27,0.92,1.4,446,">2,000",8,0,0,0,0,,
"reusable soap dispenser",,,159,318,11,1.06,0.87,1.46,423,">2,000",8,0,0,0,1,,
"soap dispenser bathroom black",,,167,334,109,,,,403,">2,000",8,0,0,0,0,,
"dispensador de detergente para cocina",,,"2,061",340,-36,1.01,0.73,1.16,359,165,8,0,0,0,0,,
"dual soap dispenser for kitchen sink",,,"1,006",353,-7,1.12,0.7,1.15,402,351,8,0,0,0,0,,
"handwash dispenser set for bathroom",,,362,362,6,,,,409,">1,000",8,0,0,0,0,,
"bathroom soap and lotion dispenser set",,,188,376,-41,0.86,0.57,0.94,466,">2,000",8,0,0,0,2,,
"tray for soap dispenser kitchen",,,97,386,41,0.88,0.7,0.98,424,">4,000",8,0,0,0,0,,
"soap dispenser for kitchen sink with tray",,,193,386,73,0.71,0.5,0.83,367,">2,000",8,0,0,0,0,,
"black bathroom soap dispenser set",,,394,394,"n/a",0.86,0.64,1.06,109,">1,000",8,0,0,0,1,,
"black soap dispenser bathroom set",,,414,414,-12,0.88,0.67,1.05,320,">1,000",8,0,0,0,2,,
"hand and soap dispenser set for kitchen",,,211,422,15,0.91,0.63,1.15,381,">2,000",8,0,0,0,0,,
"ornament soap dispenser",,,"2,594",428,21,,,,351,">165",8,0,0,0,0,,
"dish liquid dispenser for kitchen sink",,,228,455,2,1.36,0.99,1.57,364,">2,000",8,0,0,0,0,,
"farmhouse soap dispenser kitchen",,,473,473,-25,0.97,0.64,1.17,346,">1,000",8,0,0,0,2,,
"dishwashing liquid dispenser",,,476,476,26,0.86,0.72,1.14,397,">1,000",8,0,0,0,2,,
"black dish soap dispenser",,,476,476,2,0.79,0.56,1.05,320,">1,000",8,0,0,0,0,,
"soap dispenser for kitchen sink black",,,476,476,-13,1.3,0.73,1.62,321,">1,000",8,0,0,0,0,,
"dishwasher dispenser for kitchen sink",,,537,476,-3,0.9,0.73,1.14,488,">886",8,0,0,0,0,,
"soap dispenser with tray",,,120,478,3,0.86,0.64,1.08,378,">4,000",8,0,0,0,2,,
"dispensador de jabon para baño",,,"1,904",478,0,,,,347,251,8,0,0,0,0,,
"soap lotion dispenser set",,,263,525,8,0.78,0.55,0.96,389,">2,000",9,0,0,0,0,,
"hand soap and lotion set for bathroom",,,175,525,-10,0.82,0.57,1.16,438,">3,000",9,0,0,0,0,,
"dish detergent dispenser for kitchen sink",,,939,525,-27,1.12,0.67,1.23,458,">559",9,0,0,0,0,,
"hands dishes soap dispenser set",,,263,525,14,0.79,0.58,0.94,385,">2,000",9,0,0,0,0,,
"black bathroom soap dispenser",,,281,562,11,0.84,0.57,1.04,368,">2,000",9,0,0,0,1,,
