State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR
ENABLED,Exact - Main Competitors Higher Price Point,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/12/23,,Rome Soap Dispenser Set,20.00,,CPC,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - black soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,20.00,,CPC,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
PAUSED,RSDS - Exact - soap dispenser for kitchen sink,CAMPAIGN_PAUSED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,20.00,,CPC,395,1,0.0025,0.80,0.80,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - bathroom soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,5.00,,CPC,362,1,0.0028,0.70,0.70,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - kitchen soap dispenser set with tray,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,5.00,,CPC,32,1,0.0312,0.60,0.60,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - dish and hand soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,10.00,<5%,CPC,42,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - hand and dish soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,10.00,,CPC,72,1,0.0139,0.80,0.80,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS -Exact - soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,5.00,<5%,CPC,173,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - soap and lotion dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,5.00,<5%,CPC,36,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS -  Exact -   kitchen soap dispenser set,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/10/23,,Rome Soap Dispenser Set,10.00,<5%,CPC,1227,3,0.0024,2.28,0.76,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
PAUSED,RSDS - Exact - Main Competitors (10),CAMPAIGN_PAUSED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,20.00,,CPC,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
PAUSED,RSDS - Exact - Set 10 (1),CAMPAIGN_PAUSED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,10.00,<5%,CPC,12,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
PAUSED,RSDS - Exact - Top 3,CAMPAIGN_PAUSED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,12.00,,CPC,1836,12,0.0065,7.24,0.60,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - Low Volume Keywords,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,20.00,<5%,CPC,33,1,0.0303,0.50,0.50,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - Weak Competitors,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,10.00,<5%,CPC,10,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
ENABLED,RSDS - Exact - Typos,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Fixed bids,8/9/23,,Rome Soap Dispenser Set,10.00,,CPC,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0
